1,Enterprise Cloud Computing
1,Customer Relationship Management
2,Online Professional Network
2,Jobs
2,People Search
2,Company Search
2,Address Book
2,Advertising
2,Professional Identity
2,Group Collaboration
3,WebRTC
3,Video Conferencing API
3,iOS and Android SDKs
3,Real-Time Video
5,Identity Management
5,Access Management
5,Single Sign-On
5,SaaS
5,Cloud
5,User Management
5,Mobile Security
5,Mobility Management
6,Real-time information
7,Coworking
7,Technology Startups
7,Events & Venues
7,Open Innovation
8,PR
8,Public Relations
8,Government Relations
10,Communications
10,Business Banking
10,Wholesale banking
10,Mortgage
10,Consumer Finance
10,Commercial Finance
11,college students
11,alumni
11,recruiting
11,advertising
11,career
11,networking
11,research
11,Social Media
15,Self-service Business Intelligence
15,Data warehouse Automation
15,Agile Business Analytics
15,Dashboards
15,Reports
15,In-memory Analytics
15,Ad Hoc Reporting
15,Sales Analytics
15,Finance
15,Wealth Management
15,Insurance
15,Cloud Business Intelligence
17,internet
17,Technology
17,online advertising
17,media
17,internet marketing
21,crowdsourcing
21,sentiment analysis
21,business listing verification
21,microtasking
21,data enrichment
21,e-discovery
21,large data sets
21,translation
21,metadata creation
21,daily deals
21,data providers
21,search
21,image annotation
21,transcription
21,search relevance
23,Web Application Monitoring
25,comments
25,discussions
25,blogs
25,publishing
25,user interaction
25,customer engagement
25,content discovery
25,native advertising
25,advertising
25,engineering
25,software development
25,design
25,sales
26,Cross-platform file sync
26,File sharing
26,Online backup
26,Cloud storage
26,Collaboration
27,Consumer Electronics
27,SaaS
27,Video
29,online publishing
29,blogging
29,writing
29,community
30,Videogames Media
30,Internet
30,Gaming
34,Bluetooth Speakers
34,Bluetooth Headsets
34,Wearable Computers
34,Health Software
34,Fashion
34,Design
40,Email Archiving
40,Email Security
40,Email Continuity
40,Unified Email Management
41,webcasting
41,webinars
41,virtual environments
41,online presentations
44,electronic health records
44,health IT
44,EMR
44,EHR
44,ONC
44,HITECH
44,healthcare
45,Presentations
45,Presentation Software
45,Presentation tool
45,Sales pitch
45,Marketing presentation
45,Training Presentation
45,Education technology
45,Cloud-based software
46,display advertising
46,internet
46,measurement
46,software development
49,Digital Publishing
49,Advertising
49,Media
49,Online
49,Marketing
49,Custom Content
49,Native Advertising
50,Machine Data To Operational Intelligence
51,Content Discovery
51,Recommendation
51,Personalization
51,Native Advertising
53,Mobile Advertising
53,Rich Media
53,Rewarded Advertising
53,Video
55,Online Advertising
55,Programmatic Buying
56,Video Game Live Streaming & Social Networking
57,Real-time information
58,real estate
58,residential
58,search
58,advertising
58,marketing
58,brokers
58,agents
59,Live Video Streaming
59,Production Services for Live Broadcasted Events
59,Live Streaming
59,SaaS
59,Internet
61,search
61,ads
61,mobile
61,android
61,online video
