1,3185,11159,Salesforce,1 Market,San Francisco,CA,94105,"1 Market San Francisco, CA 94105",http://twitter.com/Salesforce,http://media.glassdoor.com/sqll/11159/salesforce-com-squarelogo-1413910133565.png,"Salesforce is the Customer Success Platform. Our social and mobile cloud technologies—including our flagship sales and CRM applications—help companies connect with customers, partners, and employees in entirely new ways.",Public Company,CRM,1999,http://www.salesforce.com,10001+,NYS,335662,3.8,Satisfied,3.8,3.3,4.1,3.7,3.5,865,internet,Marc Benioff,http://media.glassdoor.com/people/ceo/11159/salesforce-com-marc-benioff.png,865,94,6
2,1337,34865,LinkedIn,2029 Stierlin Court,Mountain View,CA,94043,"2029 Stierlin Court Mountain View, CA 94043",linkedin,http://media.glassdoor.com/sqll/34865/linkedin-squarelogo.png,"Founded in 2003, LinkedIn connects the world's professionals to make them more productive and successful. With more than 300 million members worldwide, including executives from every Fortune 500 company, LinkedIn is the world's largest professional network on the Internet. The company has a diversified business model with revenue coming from Talent Solutions, Marketing Solutions and Premium Subscriptions products. Headquartered in Silicon Valley, LinkedIn has offices across the globe.",Public Company,LNKD,2003,http://www.linkedin.com,5001-10000,NYS,1011700,4.6,Very Satisfied,4.7,4.4,4.4,4.3,4.4,868,Internet,Jeff Weiner,http://media.glassdoor.com/people/ceo/34865/linkedin-jeff-weiner.png,796,98,2
3,167766,246243,tokbox,501 Second Street,San Francisco,CA,94107,"501 Second Street San Francisco, CA  94107",@tokbox,http://media.glassdoor.com/sqll/246243/tokbox-squarelogo.png,"TokBox, part of Telefonica Digital, develops and operates OpenTok, a global platform that enables you to quickly and easily integrate real-time communications into your website and mobile apps. OpenTok offers industry leading features including one to one and multi-party calling, call recording, mobile support, intelligent quality controls and more. Our comprehensive API makes it easy to deliver world class communication experiences powered by WebRTC. The first platform to incorporate support for WebRTC, OpenTok caters to enterprises, entrepreneurs and developers with powerful APIs, a global cloud infrastructure, and pre-configured solutions. OpenTok has been used to add video communications to more than 70,000 services by companies including Major League Baseball, Diet Coke, Ford, Doritos, Bridgestone and Double Robotics. TokBox is located in San Francisco, CA.",Privately Held,,2007,tokbox.com,51-200,,1035,4.9,Very Satisfied,0,0,0,0,0,1,Internet,Scott Lomond,,1,100,0
4,14422,20463,markmonitor,"425 Market St., 5th floor",San Francisco,CA,94105,"425 Market St., 5th floor San Francisco, CA  94105",,http://media.glassdoor.com/sqll/20463/markmonitor-squarelogo.png,"MarkMonitor®, the world leader in enterprise brand protection and a Thomson Reuters Intellectual Property & Science business, uses a SaaS delivery model to provide advanced technology and expertise that protects the revenues and reputations of the world's leading brands. In the digital world, brands face new risks due to the web's anonymity, global reach and shifting consumption patterns for digital content, goods and services. Customers choose MarkMonitor for its unique combination of industry-leading expertise, advanced technology and extensive industry relationships to preserve their marketing investments, revenues and customer trust.",Privately Held,,1999,https://www.markmonitor.com,201-500,,2632,4.1,Very Satisfied,0,0,0,0,0,11,Internet,Mark Frost,,3,100,0
5,926041,444756,Okta Inc,301 Brannan St,San Francisco,CA,94107,"301 Brannan St San Francisco, CA  94107",oktainc,http://media.glassdoor.com/sqll/444756/okta-squarelogo.png,"Okta is an integrated identity and mobility management service. Built from the ground up in the cloud, Okta securely and simply connects people to their applications from any device, anywhere, at anytime. Okta integrates with existing directories and identity systems, as well as thousands of on-premises, cloud and mobile applications, and runs on a secure, reliable and extensively audited cloud-based platform. More than 2,000 customers, including Adobe, Allergan, Chiquita, LinkedIn, MGM Resorts International, Shire Pharmaceuticals and Western Union, use Okta to improve employee productivity, increase supply chain efficiency and revenue and improve compliance. The thousands of enterprises and cloud vendors, as well as the millions of people using Okta, are the foundation of the industry's fastest growing IT network for the cloud and mobile world. Okta is backed by premier venture capital firms Andreessen Horowitz, Greylock Partners, Khosla Ventures and Sequoia Capital. To learn more about Okta, visit: https://www.okta.com.",Privately Held,,2009,www.okta.com,201-500,,5924,4.2,Very Satisfied,4,4.1,4,4.2,3.7,43,Computer Software,Todd McKinnon,,36,100,0
6,96622,100569,Twitter,1355 Market St,San Francisco,CA,94103,"1355 Market San Francisco, CA 94103",twitter,http://media.glassdoor.com/sqll/100569/twitter-squarelogo.png,"Twitter is a global platform for public self-expression and conversation in real time. By developing a fundamentally new way for people to create, distribute and discover content, we have democratized content creation and distribution, enabling any voice to echo around the world instantly and unfiltered. The service can be accessed at Twitter.com, via Twitter mobile applications for a variety of devices, and by text message. Available in more than 35 languages, Twitter has more than 255 million monthly active users. For more information, visit discover.twitter.com or follow @twitter. U.S. offices Atlanta, Austin, Boston, Boulder, Chicago, Detroit, Los Angeles, New York, Seattle, Sunnyvale, Washington International offices Amsterdam, Berlin, Dublin, London, Madrid, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, Vancouver",Public Company,TWTR,2006,https://about.twitter.com/,1001-5000,NYS,263981,4.2,Very Satisfied,4.2,3.8,4.2,3.9,4,187,Internet,Dick Costolo,http://media.glassdoor.com/people/ceo/100569/twitter-dick-costolo.png,168,87,13
7,2283378,670208,RocketSpace,180 Sansome St,San Francisco,CA,94104,180 Sansome St	San Francisco	CA	94104,rocketspace,https://media.licdn.com/mpr/mpr/p/1/000/0d7/2f2/2df9866.png,"RocketSpace is an open innovation campus located in the heart of San Francisco. Our members are disruptive, fast-growing technology companies who want to gain a competitive advantage in the market. We believe that you’re a product of your environment: RocketSpace surrounds its members with a perfect ecosystem of resources that they need to grow including unique access to corporate brands, venture capital, partnerships, speakers, mentoring, and talent. Notable alumni include Uber, Spotify, Leap Motion, Snip.it and Podio. Corporate innovation partners include Samsung, British Airways, Microsoft, Pearson and General Motors. RocketSpace: Fueling the Technology Economy Visit our expanded SF campus today: www.rocket-space.com/about_us",Privately Held,,2011,http://www.rocket-space.com/,11-50,,1756,4.6,Very Satisfied,0,0,0,0,0,2,Information Technology & Services,Duncan Logan,http://media.glassdoor.com/people/ceo/670208/rocket-space-duncan-logan.png,0,0,0
8,5057,14411,Ketchum,1050 Battery St,San Francisco,CA,94111,1050 Battery St	San Francisco	CA	94111,,http://media.glassdoor.com/sqll/14411/ketchum-squarelogo.png,"Ketchum is a leading global communications firm with operations in more than 70 countries across six continents. Ketchum has been named PR Agency of the Year (and European Excellence Awards) and the winner of an unprecedented three consecutive Campaign of the Year Awards, Ketchum partners with clients to deliver strategic programming, game-changing creative and measurable results that build brands and reputations. For more information on Ketchum, a part of Diversified Agency Services, a division of Omnicom Group Inc., visit",Public Company,OMC,0,http://www.ketchum.com,1001-5000,,24315,3.9,Satisfied,3.6,3.2,3.2,3.9,2.8,108,Public Relations,Rob Flaherty,http://media.glassdoor.com/people/ceo/14411/ketchum-rob-flaherty.png,40,94,6
9,17339,5213,San Francisco Giants,24 Willie Mays Plaza,San Francisco,CA,94107,24 Willie Mays Plaza	San Francisco	CA	94107,SFGIANTS,http://media.glassdoor.com/sqll/5213/san-francisco-giants-squarelogo.png,"The San Francisco Giants are champions on and off the field. Winning 2 World Series Championships in the last 3 seasons (2010 and 2012), the Giants continue to establish itself as a global brand. Since moving to downtown San Francisco, the Giants home, AT&T Park has been lauded as one of the finest ballparks in all of baseball. The Giants continue to innovate the sports industry with some of the brightest and best professionals working in the front office. Find a listing of available jobs at http://sanfrancisco.giants.mlb.com/mlb/help/jobs.jsp?c_id=sf",Privately Held,,1958,www.sfgiants.com,51-200,,14608,3.7,Satisfied,3.6,3.7,2.4,2.6,3.3,12,Sports,Larry Baer,,4,100,0
10,3981425,8876,Wells Fargo,420 Montgomery St,San Francisco,CA,94103,420 Montgomery St	San Francisco	CA	94103,wellsfargo,http://media.glassdoor.com/sqll/8876/wells-fargo-squarelogo.png,"Welcome to our LinkedIn page! Wells Fargo & Company is a diversified financial services company providing banking, insurance, investments, mortgage, and consumer and commercial finance through more than 9,000 stores and more than 12,000 ATMs and the Internet (wellsfargo.com) across North America and internationally. We’re headquartered in San Francisco, but we’re decentralized so every local Wells Fargo store is a headquarters for satisfying all our customers’ financial needs and helping them succeed financially. One in three households in America does business with Wells Fargo. Wells Fargo has $1.4 trillion in assets and more than 275,000 team members in more than 35 countries across our 80+ businesses. We ranked fourth in assets and first in market value of our stock among our U.S. peers. Among all financial services companies, we ranked first in market value in the U.S. and second in the world, as of June 30, 2013. In 2013, Euromoney named Wells Fargo Bank of the Year and Best Bank in the U.S. We were the first U.S. bank to be recognized as Bank of the Year. In 2012, The Chronicle of Philanthropy ranked us #1 as the Most Generous Cash Donor in the U.S. In 2013, The Wall Street Journal named us the largest bank in the world by market capitalization at $237 billion. Our vision: “We want to satisfy all our customers’ financial needs and help them succeed financially. Relevant military experience is considered for veterans and transitioning service men and women. Wells Fargo is an Affirmative Action and Equal Opportunity Employer M/F/D/V. © 2013 Wells Fargo Bank, N.A. All rights reserved. Member FDIC.",Public Company,WFC,1852,http://www.wellsfargo.com,10001+,NYS,352184,3.2,OK,3.2,2.8,3.4,3.4,3.2,6870,Financial Services,John G. Stumpf,http://media.glassdoor.com/people/ceo/8876/wells-fargo-john-g-stumpf.png,3440,78,22
